strongs,translit,bucket,final_gloss,final_source,review_flag,definition_es,dominant_gloss_share,occurrences,pct_running_tokens,tbesh_gloss,proposed_gloss,proposed_source,held_reason,rvr1960_db_form
H1,av,judgment,padre,definition_es-head,,"padre, en una aplicación literal e inmediata, o figurada y remota",0.630,1213,0.3977,father,,,no dominant sense (top 0.63),
H2,av,mechanical,padre,tbesh-map,,(arameo) padre,1.000,9,0.0030,father,padre,tbesh-map,,
H3,ev,judgment,planta verde,definition_es-head,,una planta verde,0.500,2,0.0007,greenery,,,no dominant sense (top 0.50),
H4,ev,mechanical,fruto,tbesh-map,,,1.000,3,0.0010,fruit,fruto,tbesh-map,,
H5,a.vag.ta,proper-noun,Abagta,defEs-name,,"Abagta, un eunuco de Jerjes",1.000,1,0.0003,Abagtha,Abagtha,tbesh-en-placeholder,,Abagta
H6,a.vad,judgment,perecer,tbesh-head-es,low-confidence,"una raíz primitiva; propiamente, extraviarse, es decir, perderse; por implicaci…",0.467,184,0.0603,to perish,,,no dominant sense (top 0.47),
H7,a.vad,mechanical,destruir,tbesh-map,,"(arameo) propiamente, extraviarse, es decir, perderse; por implicación, perecer…",0.857,7,0.0023,to destroy,destruir,tbesh-map,,
H8,o.ved,mechanical,miserable o,definition_es-head,,(concreto) miserable o (abstracto) destrucción,1.000,2,0.0007,destruction,miserable o,definition_es-head,,
H9,a.ve.dah,mechanical,algo perdido,definition_es-head,,"concretamente, algo perdido; abstractamente, destrucción, es decir el Hades",1.000,4,0.0013,something lost,algo perdido,definition_es-head,,
H10,a.vad.don,mechanical,perdición,definition_es-head,,una perdición (ruina),1.000,1,0.0003,destruction,perdición,definition_es-head,,
H11,a.vad.don,proper-noun,Abadón,hand-name,,"abstracto, una destrucción (perecimiento); concreto, el Hades (Abadón)",1.000,5,0.0016,Abaddon,Abaddon,tbesh-en-placeholder,,Abadón
H12,av.dan,mechanical,perdición,definition_es-head,,una perdición (ruina),1.000,1,0.0003,destruction,perdición,definition_es-head,,
H13,ov.dan,mechanical,perdición,definition_es-head,,una perdición (ruina),1.000,1,0.0003,destruction,perdición,definition_es-head,,
H14,a.vah,mechanical,anhelar tras,definition_es-head,,"anhelar tras, es decir, (figurativamente) consentir / querer",0.907,54,0.0177,be willing,anhelar tras,definition_es-head,,
H15,a.veh,mechanical,anhelo,definition_es-head,,anhelo,1.000,1,0.0003,oh that!,anhelo,definition_es-head,,
H16,e.veh,mechanical,papiro,definition_es-head,,el papiro,1.000,1,0.0003,papyrus,papiro,definition_es-head,,
H17,a.voy,mechanical,carencia,definition_es-head,,carencia,1.000,1,0.0003,pain!,carencia,definition_es-head,,
H18,e.vus,mechanical,pesebre,tbesh-map,,un pesebre o establo,1.000,3,0.0010,crib,pesebre,tbesh-map,,
H19,iv.chah,mechanical,matanza / degüello,tbesh-head-es,,,1.000,1,0.0003,slaughter,,tbesh-untranslated,,
H20,a.vat.ti.ach,mechanical,melón,tbesh-map,,un melón (solo plural),1.000,1,0.0003,melon,melón,tbesh-map,,
H21,a.vi,proper-noun,Abí,defEs-name,,"Abí, la madre de Ezequías",1.000,1,0.0003,Abi,Abi,tbesh-en-placeholder,,Abi
H22,a.vi.el,proper-noun,Abiel,defEs-name,,"Abiel, nombre de dos israelitas",1.000,3,0.0010,Abiel,Abiel,tbesh-en-placeholder,,Abiel
H23,a.vi.a.saph,proper-noun,Abiasaf,defEs-name,,"Abiasaf, un israelita",1.000,1,0.0003,Abiasaph,Abiasaph,tbesh-en-placeholder,,Abiasaf
H24,a.viv,judgment,verde,definition_es-head,,"verde, es decir, una espiga tierna de grano; de ahí, el nombre del mes Abib o N…",0.750,8,0.0026,Abib,,,no dominant sense (top 0.75),
H26,a.vi.ga.yil,proper-noun,Abigail / Abigal,defEs-name,,"Abigail o Abigal, el nombre de dos israelitas",1.000,17,0.0056,Abigail,Abigail,tbesh-en-placeholder,,Abigail
H27,a.vi.dan,proper-noun,Abidán,defEs-name,,"Abidán, un israelita",1.000,5,0.0016,Abidan,Abidan,tbesh-en-placeholder,,Abidán
H28,a.vi.da,proper-noun,Abida,defEs-name,,"Abida, un hijo de Abraham por Cetura",1.000,2,0.0007,Abida,Abida,tbesh-en-placeholder,,Abida
H29,a.viy.yah,proper-noun,Abías,defEs-name,,"Abías, el nombre de varios hombres israelitas y dos mujeres israelitas",1.000,25,0.0082,Abijah,Abijah,tbesh-en-placeholder,,Abías
H30,a.vi.hu,proper-noun,Abiú,defEs-name,,"Abiú, un hijo de Aarón",1.000,12,0.0039,Abihu,Abihu,tbesh-en-placeholder,,Abiú
H31,a.vi.hud,proper-noun,Abiud,defEs-name,,"Abiud, nombre de dos israelitas",1.000,1,0.0003,Abihud,Abihud,tbesh-en-placeholder,,Abiud
H32,a.vi.ha.yil,proper-noun,Abihail / Abicail,defEs-name,,"Abihail o Abicail, nombre de tres israelitas y dos israelitas (mujeres)",1.000,6,0.0020,Abihail,Abihail,tbesh-en-placeholder,,Abihail
H33,a.vi ha.ez.ri,proper-noun,abiezrita,defEs-gentilic,,un abiezrita o descendiente de Abiezer,0.500,6,0.0020,Abiezrite,Abiezrite,tbesh-en-placeholder,,
H34,ev.yon,mechanical,menesteroso,definition_es-head,,menesteroso / indigente,0.984,61,0.0200,needy,menesteroso,definition_es-head,,
H35,a.viy.yo.nah,mechanical,provocador de deseo,definition_es-head,,provocador de deseo; la alcaparra (por su sabor estimulante),1.000,1,0.0003,desire,provocador de deseo,definition_es-head,,
H36,a.vi.tuv,proper-noun,Ahitob,defEs-name,,"Ahitob, un israelita",1.000,1,0.0003,Abitub,Abitub,tbesh-en-placeholder,,
H37,a.vi.tal,proper-noun,Abital,defEs-name,,"Abital, una esposa del rey David",1.000,2,0.0007,Abital,Abital,tbesh-en-placeholder,,Abital
H38,a.viy.yam,proper-noun,Abiam,defEs-name,,"Abiam (o Abías), un rey de Judá",1.000,5,0.0016,Abijam,Abijam,tbesh-en-placeholder,,Abiam
H39,a.vi.ma.el,proper-noun,Abimael,defEs-name,,"Abimael, un hijo de Joctán",1.000,2,0.0007,Abimael,Abimael,tbesh-en-placeholder,,Abimael
H40,a.vi.me.lekh,proper-noun,Abimelec,defEs-name,,"Abimelec, el nombre de dos reyes filisteos y de dos israelitas",0.985,66,0.0216,Abimelech,Abimelech,tbesh-en-placeholder,,Abimelec
H41,a.vi.na.dav,proper-noun,Abinadab,defEs-name,,"Abinadab, el nombre de cuatro israelitas",1.000,12,0.0039,Abinadab,Abinadab,tbesh-en-placeholder,,Abinadab
H42,a.vi.no.am,proper-noun,Abinoam,defEs-name,,"Abinoam, un israelita",1.000,4,0.0013,Abinoam,Abinoam,tbesh-en-placeholder,,Abinoam
H43,ev.ya.saph,proper-noun,Ebiasaf,defEs-name,,"Ebiasaf, un israelita",1.000,3,0.0010,Ebiasaph,Ebiasaph,tbesh-en-placeholder,,Ebiasaf
H44,a.vi.e.zer,proper-noun,Abiezer,defEs-name,,"Abiezer, el nombre de dos israelitas",1.000,7,0.0023,Abiezer,Abiezer,tbesh-en-placeholder,,Abiezer
H45,a.vi-al.von,proper-noun,Abialbón,defEs-name,,"Abialbón, un israelita",0.500,2,0.0007,Abi-albon,Abi-albon,tbesh-en-placeholder,,
H46,a.vir,mechanical,poderoso,definition_es-head,,poderoso (dicho de Dios),1.000,6,0.0020,mighty,poderoso,definition_es-head,,
H47,ab.bir,mechanical,"fuerte, poderoso",definition_es-head,,"fuerte, poderoso (dicho de Dios)",0.941,17,0.0056,mighty,"fuerte, poderoso",definition_es-head,,
H48,a.vi.ram,proper-noun,Abiram,defEs-name,,"Abiram, el nombre de dos israelitas",1.000,11,0.0036,Abiram,Abiram,tbesh-en-placeholder,,Abiram
H49,a.vi.shag,proper-noun,Abisag,defEs-name,,"Abisag, una concubina de David",1.000,5,0.0016,Abishag,Abishag,tbesh-en-placeholder,,Abisag
H50,a.vi.shu.a,proper-noun,Abisúa,defEs-name,,"Abisúa, nombre de dos israelitas",1.000,5,0.0016,Abishua,Abishua,tbesh-en-placeholder,,Abisúa
H51,a.vi.shur,proper-noun,Abisur,defEs-name,,"Abisur, un israelita",1.000,2,0.0007,Abishur,Abishur,tbesh-en-placeholder,,Abisur
H52,a.vi.shay,proper-noun,Abisai,defEs-name,,"Abisai, un israelita",0.960,25,0.0082,Abishai,Abishai,tbesh-en-placeholder,,Abisai
H53,a.vi.sha.lom,proper-noun,Absalón,defEs-name,,"Absalón, un hijo de David; también (en su forma más completa) un israelita post…",0.982,110,0.0361,Absalom,Absalom,tbesh-en-placeholder,,Absalón
H54,ev.ya.tar,proper-noun,Abiatar,defEs-name,,"Abiatar, un israelita",1.000,30,0.0098,Abiathar,Abiathar,tbesh-en-placeholder,,Abiatar
H55,a.vakh,mechanical,enrollar,tbesh-head-es,,,1.000,1,0.0003,to roll up,,tbesh-untranslated,,
H56,a.val,judgment,lamentar,definition_es-head,,lamentar,0.692,39,0.0128,to mourn,,,no dominant sense (top 0.69),
H57,a.vel,judgment,"que se lamenta, lamentando",definition_es-head,,"que se lamenta, lamentando, doliente",0.625,8,0.0026,mourning,,,no dominant sense (top 0.63),
H59,a.vel,proper-noun,Abel,defEs-name,,"Abel, nombre de dos lugares en Palestina",1.000,2,0.0007,Abel,Abel,tbesh-en-placeholder,,Abel
H60,e.vel,mechanical,"lamentación, duelo",definition_es-head,,"lamentación, duelo",1.000,24,0.0079,mourning,"lamentación, duelo",definition_es-head,,
H61,a.val,judgment,no,definition_es-head,,"no, es decir, en verdad o sin embargo, ciertamente, mas",0.636,11,0.0036,truly,,,no dominant sense (top 0.64),
H62,a.vel bet-ma.a.khah,proper-noun,Abel-bet-maaca,defEs-name,,"Abel-bet-maaca, un lugar en Palestina",0.333,12,0.0039,Abel-beth-maachah,Abel-beth-maachah,tbesh-en-placeholder,,Abel-bet-maaca
H63,a.vel hash.shit.tim,proper-noun,Abel-sitim,defEs-name,,"Abel-sitim, un lugar en Palestina",0.500,2,0.0007,Abel-shittim,Abel-shittim,tbesh-en-placeholder,,Abel-sitim
H64,a.vel ke.ra.mim,proper-noun,Abel-keramim,defEs-name,,"Abel-keramim, un lugar en Palestina",0.500,2,0.0007,Abel-keramim,Abel-keramim,tbesh-en-placeholder,,
H65,a.vel me.cho.lah,proper-noun,Abel-mehola,defEs-name,,"Abel-mehola, un lugar en Palestina",0.500,6,0.0020,Abel-meholah,Abel-meholah,tbesh-en-placeholder,,Abel-mehola
H66,a.vel ma.yim,proper-noun,Abel-maim,defEs-name,,"Abel-maim, un lugar en Palestina",0.500,2,0.0007,Abel-maim,Abel-maim,tbesh-en-placeholder,,Abel-maim
H67,a.vel mits.ra.yim,proper-noun,Abel-mizraim,defEs-name,,"Abel-mizraim, un lugar en Palestina",0.500,2,0.0007,Abel-mizraim,Abel-mizraim,tbesh-en-placeholder,,Abel-mizraim
H68,e.ven,mechanical,piedra,tbesh-map,,una piedra,0.919,273,0.0895,stone,piedra,tbesh-map,,
H69,e.ven,mechanical,piedra,tbesh-map,,(arameo) una piedra,0.875,8,0.0026,stone,piedra,tbesh-map,,
H70,o.ven,mechanical,par de piedras,definition_es-head,,un par de piedras (solo dual); una rueda de alfarero o el asiento de una parter…,1.000,2,0.0007,wheel,par de piedras,definition_es-head,,
H72,e.ven ha.e.zer,proper-noun,Eben-ezer,defEs-name,,"Eben-ezer, un lugar en Palestina",0.500,6,0.0020,Ebenezer,Ebenezer,tbesh-en-placeholder,,Eben-ezer
H73,av.net,mechanical,"cinto, faja",definition_es-head,,"un cinto, faja, ceñidor",1.000,9,0.0030,girdle,"cinto, faja",definition_es-head,,
H74,av.ner,proper-noun,Abner,defEs-name,,"Abner, un israelita",1.000,63,0.0207,Abner,Abner,tbesh-en-placeholder,,Abner
H75,a.vas,mechanical,dar forraje,definition_es-head,,dar forraje,1.000,2,0.0007,to fatten,dar forraje,definition_es-head,,
H76,a.va.bu.ah,mechanical,pústula inflamatoria,definition_es-head,,una pústula inflamatoria (erupción),1.000,2,0.0007,boil,pústula inflamatoria,definition_es-head,,
H77,e.vets,proper-noun,Ebes,defEs-name,,"Ebes, un lugar en Palestina",1.000,1,0.0003,Ebez,Ebez,tbesh-en-placeholder,,
H78,iv.tsan,proper-noun,Ibsán,defEs-name,,"Ibsán, un israelita",1.000,2,0.0007,Ibzan,Ibzan,tbesh-en-placeholder,,
H79,a.vaq,mechanical,luchar,tbesh-head-es,,,1.000,2,0.0007,to wrestle,,tbesh-untranslated,,
H80,a.vaq,mechanical,polvo,tbesh-map,,partículas ligeras (como volátiles),1.000,6,0.0020,dust,polvo,tbesh-map,,
H81,a.va.qah,judgment,polvo aromático,tbesh-head-es,,partículas ligeras (volátiles),1.000,1,0.0003,aromatic powder,,,definition_es not condensable to a terse gloss,
H82,a.var,mechanical,remontar el vuelo,definition_es-head,,remontar el vuelo,1.000,1,0.0003,to fly,remontar el vuelo,definition_es-head,,
H83,e.ver,judgment,pluma,definition_es-head,,una pluma (del ala),0.667,3,0.0010,wing,,,no dominant sense (top 0.67),
H84,ev.rah,judgment,péñola,definition_es-head,,una péñola (pluma maestra del ala),0.500,4,0.0013,pinion,,,no dominant sense (top 0.50),
H85,av.ra.ham,proper-noun,Abraham,defEs-name,,"Abraham, el nombre posterior de Abram",1.000,175,0.0574,Abraham,Abraham,tbesh-en-placeholder,,Abraham
H86,av.rekh,mechanical,arrodillarse,definition_es-head,,arrodillarse,1.000,1,0.0003,to bow,arrodillarse,definition_es-head,,
H87,av.ram,proper-noun,Abram,defEs-name,,"Abram, el nombre original de Abraham",1.000,61,0.0200,Abram,Abram,tbesh-en-placeholder,,Abram
H88,o.vot,proper-noun,Obot,defEs-name,,"Obot, un lugar en el Desierto",1.000,4,0.0013,Oboth,Oboth,tbesh-en-placeholder,,Obot
H89,a.ge,proper-noun,Age,defEs-name,,"Age, un israelita",1.000,1,0.0003,Agee,Agee,tbesh-en-placeholder,,Age
H90,a.gag,proper-noun,Agag,defEs-name,,"Agag, un título de los reyes amalecitas",1.000,8,0.0026,Agag,Agag,tbesh-en-placeholder,,Agag
H91,a.ga.gi,proper-noun,agagueo,defEs-gentilic,,un agagueo o descendiente (súbdito) de Agag,1.000,5,0.0016,Agagite,Agagite,tbesh-en-placeholder,,agagueo
H92,a.gud.dah,judgment,atadura,definition_es-head,,"una atadura, haz, nudo o arco (bóveda)",0.250,4,0.0013,band,,,no dominant sense (top 0.25),
H93,e.goz,mechanical,nuez,definition_es-head,,una nuez,1.000,1,0.0003,nut,nuez,definition_es-head,,
H94,a.gur,proper-noun,Agur,defEs-name,,"Agur, nombre figurado de Salomón",1.000,1,0.0003,Agur,Agur,tbesh-en-placeholder,,Agur
H95,a.go.rah,mechanical,algo recogido,definition_es-head,,"propiamente, algo recogido, es decir tal vez un grano o baya; usado solo de una…",1.000,1,0.0003,piece,algo recogido,definition_es-head,,
H96,e.gel,mechanical,estanque,definition_es-head,,un estanque,1.000,1,0.0003,drop,estanque,definition_es-head,,
H97,eg.la.yim,proper-noun,Eglaim,defEs-name,,"Eglaim, un lugar en Moab",1.000,1,0.0003,Eglaim,Eglaim,tbesh-en-placeholder,,Eglaim
H98,a.gam,judgment,pantano,definition_es-head,,"un pantano; de ahí, un junco (como que crece en pantanos); de ahí, una empaliza…",0.556,9,0.0030,pool,,,no dominant sense (top 0.56),
H99,a.gem,judgment,afligido,tbesh-head-es,,"probablemente en el sentido de agua estancada; figuradamente, triste",1.000,1,0.0003,grieved,,,definition_es not condensable to a terse gloss,
H100,ag.mon,judgment,junco,definition_es-head,,un junco (que crece allí); colectivamente una soga de juncos,0.800,5,0.0016,bulrush,,,no dominant sense (top 0.80),
H101,ag.gan,mechanical,vasija,tbesh-map,,un tazón (ahuecado a golpes),1.000,3,0.0010,vessel,vasija,tbesh-map,,
H102,ag.gaph,judgment,alas de un ejército,definition_es-head,,"(solo plural) las alas de un ejército, o muchedumbres de tropas, escuadrones",0.714,7,0.0023,band,,,no dominant sense (top 0.71),
H103,a.gar,mechanical,recoger,tbesh-map,,cosechar (recoger),1.000,3,0.0010,to gather,recoger,tbesh-map,,
H104,ig.g.ra,judgment,epístola,definition_es-head,,"(arameo) una epístola (como llevada por un correo estatal o mensajero), carta",0.667,3,0.0010,letter,,,no dominant sense (top 0.67),
H105,a.gar.tal,mechanical,vasija,definition_es-head,,una vasija (palangana),1.000,2,0.0007,basin,vasija,definition_es-head,,
H106,eg.roph,mechanical,puño cerrado,definition_es-head,,el puño cerrado,1.000,2,0.0007,fist,puño cerrado,definition_es-head,,
H107,ig.ge.ret,mechanical,carta,tbesh-map,,"una carta, epístola",1.000,10,0.0033,letter,carta,tbesh-map,,
H108,ed,judgment,niebla,definition_es-head,,una niebla,0.500,2,0.0007,mist,,,no dominant sense (top 0.50),
H109,a.dav,mechanical,languidecer,definition_es-head,,languidecer,1.000,1,0.0003,to grieve,languidecer,definition_es-head,,
H110,ad.be.el,proper-noun,Adbeel,defEs-name,,"Adbeel, un hijo de Ismael",1.000,2,0.0007,Adbeel,Adbeel,tbesh-en-placeholder,,Adbeel
H111,a.dad,proper-noun,Adad,defEs-name,,"Adad (Hadad), un edomita",1.000,1,0.0003,Hadad,Hadad,tbesh-en-placeholder,,
H112,id.do,proper-noun,Iddo,defEs-name,,"Iddo, un israelita",1.000,2,0.0007,Iddo,Iddo,tbesh-en-placeholder,,Iddo
H113,a.don,judgment,señor / amo,hand-fix,,"soberano, es decir, el que tiene el control (humano o divino)",0.616,333,0.1092,lord,,,no dominant sense (top 0.62),
H114,ad.don,proper-noun,Addón,defEs-name,,"Addón, aparentemente un israelita",1.000,1,0.0003,Addon,Addon,tbesh-en-placeholder,,
H115,a.do.ra.yim,proper-noun,Adoraim,defEs-name,,"Adoraim, un lugar en Palestina",1.000,1,0.0003,Adoraim,Adoraim,tbesh-en-placeholder,,Adoraim
H116,e.da.yin,mechanical,entonces,definition_es-head,,(arameo) entonces (de tiempo),1.000,57,0.0187,then,entonces,definition_es-head,,
H117,ad.dir,judgment,ancho o,definition_es-head,,"ancho o (generalmente) grande; figurativamente, poderoso, magnífico",0.407,27,0.0089,great,,,no dominant sense (top 0.41),
H118,a.dal.ya,proper-noun,Adalía,defEs-name,,"Adalía, un hijo de Amán",1.000,1,0.0003,Adalia,Adalia,tbesh-en-placeholder,,Adalía
H119,a.dam,judgment,enrojecer o ponerse rosado,definition_es-head,,"enrojecer o ponerse rosado, ser rojo",0.700,10,0.0033,to redden,,,no dominant sense (top 0.70),
H120,a.dam,judgment,hombre / ser humano,hand-weighted,weighted,"rojizo, es decir, un ser humano (un individuo o la especie, la humanidad, etc.)",0.564,550,0.1803,man,,,no dominant sense (top 0.56),
H121,a.dam,proper-noun,Adán,defEs-name,,"Adán, el nombre del primer hombre, también de un lugar en Palestina",1.000,12,0.0039,Adam,Adam,tbesh-en-placeholder,,Adán
H122,a.dom,judgment,"rojizo, rojo",definition_es-head,,"rojizo, rojo",0.778,9,0.0030,red,,,no dominant sense (top 0.78),
H123,e.dom,proper-noun,Edom,defEs-name,,"Edom, el hermano gemelo mayor de Jacob; de ahí, la región (Idumea) ocupada por…",0.990,99,0.0325,Edom,Edom,tbesh-en-placeholder,,Edom
H124,o.dem,mechanical,rojez,definition_es-head,,"rojez, es decir el rubí, granate, u otra gema roja (sárdica)",1.000,3,0.0010,sardius,rojez,definition_es-head,,
H125,a.dam.dam,mechanical,rojizo,definition_es-head,,rojizo,1.000,6,0.0020,reddish,rojizo,definition_es-head,,
H126,ad.mah,proper-noun,Adma,defEs-name,,"Adma, un lugar cerca del Mar Muerto",1.000,5,0.0016,Admah,Admah,tbesh-en-placeholder,,Adma
H127,a.da.mah,judgment,tierra / suelo,hand-weighted,weighted,suelo / tierra (por su rojez general),0.462,225,0.0738,land,,,no dominant sense (top 0.46),
H128,a.da.mah,proper-noun,Adama,defEs-name,,"Adama, un lugar en Palestina",1.000,1,0.0003,Adamah,Adamah,tbesh-en-placeholder,,Adama
H129,a.da.mi,proper-noun,Adami,defEs-name,,"Adami, un lugar en Palestina",1.000,1,0.0003,Adami,Adami,tbesh-en-placeholder,,
H130,e.do.mi,proper-noun,edomita,defEs-gentilic,,"un edomita, o descendientes (o habitantes) de Edom",1.000,11,0.0036,Edomite,Edomite,tbesh-en-placeholder,,edomita
H131,a.dum.mim,proper-noun,Adumim,defEs-name,,"Adumim, un paso en Palestina",1.000,2,0.0007,Adummim,Adummim,tbesh-en-placeholder,,
H132,ad.mo.ni,mechanical,rojizo,definition_es-head,,"rojizo (del cabello o la tez), rubio",1.000,3,0.0010,red,rojizo,definition_es-head,,
